Temp = 28 ◦ C, Humidity = 87 %, Pressure = 0 hPa.
Temp = 23 ◦ C, Humidity = 82 %, Pressure = 1028 hPa.
Temp = 33 ◦ C, Humidity = 82 %, Pressure = 1010 hPa.
Temp = 28 ◦ C, Humidity = 28 %, Pressure = 1010 hPa.
Temp = 16 ◦ C, Humidity = 28 %, Pressure = 1010 hPa.
Temp = 38 ◦ C, Humidity = 33 %, Pressure = 1090 hPa.
Temp = 18 ◦ C, Humidity = 33 %, Pressure = 1090 hPa.
Temp = 24 ◦ C, Humidity = 40 %, Pressure = 1090 hPa.
Temp = 16 ◦ C, Humidity = 40 %, Pressure = 994 hPa.
Temp = 31 ◦ C, Humidity = 31 %, Pressure = 994 hPa.
Temp = 22 ◦ C, Humidity = 31 %, Pressure = 994 hPa.
Temp = 20 ◦ C, Humidity = 42 %, Pressure = 1068 hPa.
Temp = 35 ◦ C, Humidity = 42 %, Pressure = 1068 hPa.
Temp = 33 ◦ C, Humidity = 54 %, Pressure = 1068 hPa.
Temp = 24 ◦ C, Humidity = 54 %, Pressure = 944 hPa.
Temp = 20 ◦ C, Humidity = 27 %, Pressure = 944 hPa.
Temp = 29 ◦ C, Humidity = 27 %, Pressure = 944 hPa.
Temp = 30 ◦ C, Humidity = 50 %, Pressure = 1006 hPa.
Temp = 39 ◦ C, Humidity = 50 %, Pressure = 1006 hPa.
Temp = 31 ◦ C, Humidity = 26 %, Pressure = 1006 hPa.
Temp = 19 ◦ C, Humidity = 26 %, Pressure = 1013 hPa.
Temp = 22 ◦ C, Humidity = 91 %, Pressure = 1013 hPa.
Temp = 15 ◦ C, Humidity = 91 %, Pressure = 1013 hPa.
Temp = 21 ◦ C, Humidity = 77 %, Pressure = 1054 hPa.
Temp = 15 ◦ C, Humidity = 77 %, Pressure = 1054 hPa.
Temp = 16 ◦ C, Humidity = 24 %, Pressure = 1054 hPa.
Temp = 17 ◦ C, Humidity = 24 %, Pressure = 989 hPa.
Temp = 35 ◦ C, Humidity = 38 %, Pressure = 989 hPa.
Temp = 37 ◦ C, Humidity = 38 %, Pressure = 989 hPa.
Temp = 31 ◦ C, Humidity = 48 %, Pressure = 1020 hPa.
Temp = 32 ◦ C, Humidity = 48 %, Pressure = 1020 hPa.
Temp = 29 ◦ C, Humidity = 25 %, Pressure = 1020 hPa.
Temp = 19 ◦ C, Humidity = 25 %, Pressure = 969 hPa.
Temp = 31 ◦ C, Humidity = 88 %, Pressure = 969 hPa.
Temp = 30 ◦ C, Humidity = 88 %, Pressure = 969 hPa.
Temp = 19 ◦ C, Humidity = 31 %, Pressure = 1031 hPa.
Temp = 18 ◦ C, Humidity = 31 %, Pressure = 1031 hPa.
Temp = 19 ◦ C, Humidity = 58 %, Pressure = 1031 hPa.
Temp = 24 ◦ C, Humidity = 58 %, Pressure = 956 hPa.
Temp = 20 ◦ C, Humidity = 32 %, Pressure = 956 hPa.
Temp = 31 ◦ C, Humidity = 32 %, Pressure = 956 hPa.
Temp = 33 ◦ C, Humidity = 45 %, Pressure = 1010 hPa.
Temp = 40 ◦ C, Humidity = 45 %, Pressure = 1010 hPa.
Temp = 28 ◦ C, Humidity = 46 %, Pressure = 1010 hPa.
Temp = 24 ◦ C, Humidity = 46 %, Pressure = 1084 hPa.
Temp = 27 ◦ C, Humidity = 41 %, Pressure = 1084 hPa.
Temp = 38 ◦ C, Humidity = 41 %, Pressure = 1084 hPa.
Temp = 35 ◦ C, Humidity = 80 %, Pressure = 976 hPa.
Temp = 18 ◦ C, Humidity = 80 %, Pressure = 976 hPa.
Temp = 26 ◦ C, Humidity = 31 %, Pressure = 976 hPa.
Temp = 27 ◦ C, Humidity = 31 %, Pressure = 973 hPa.
Temp = 18 ◦ C, Humidity = 93 %, Pressure = 973 hPa.
Temp = 15 ◦ C, Humidity = 93 %, Pressure = 973 hPa.
Temp = 15 ◦ C, Humidity = 90 %, Pressure = 1006 hPa.
Temp = 18 ◦ C, Humidity = 90 %, Pressure = 1006 hPa.
Temp = 35 ◦ C, Humidity = 83 %, Pressure = 1006 hPa.
Temp = 21 ◦ C, Humidity = 83 %, Pressure = 1061 hPa.
Temp = 26 ◦ C, Humidity = 64 %, Pressure = 1061 hPa.
Temp = 28 ◦ C, Humidity = 64 %, Pressure = 1061 hPa.
Temp = 15 ◦ C, Humidity = 63 %, Pressure = 954 hPa.
Temp = 39 ◦ C, Humidity = 63 %, Pressure = 954 hPa.
Temp = 15 ◦ C, Humidity = 74 %, Pressure = 954 hPa.
Temp = 31 ◦ C, Humidity = 74 %, Pressure = 984 hPa.
Temp = 26 ◦ C, Humidity = 70 %, Pressure = 984 hPa.
Temp = 23 ◦ C, Humidity = 70 %, Pressure = 984 hPa.
Temp = 25 ◦ C, Humidity = 58 %, Pressure = 1023 hPa.
Temp = 15 ◦ C, Humidity = 58 %, Pressure = 1023 hPa.
Temp = 15 ◦ C, Humidity = 21 %, Pressure = 1023 hPa.
Temp = 36 ◦ C, Humidity = 21 %, Pressure = 1043 hPa.
Temp = 27 ◦ C, Humidity = 60 %, Pressure = 1043 hPa.
Temp = 28 ◦ C, Humidity = 60 %, Pressure = 1043 hPa.
Temp = 18 ◦ C, Humidity = 92 %, Pressure = 919 hPa.
Temp = 22 ◦ C, Humidity = 92 %, Pressure = 919 hPa.
Temp = 28 ◦ C, Humidity = 80 %, Pressure = 919 hPa.
Temp = 22 ◦ C, Humidity = 80 %, Pressure = 1002 hPa.
Temp = 26 ◦ C, Humidity = 95 %, Pressure = 1002 hPa.
Temp = 24 ◦ C, Humidity = 95 %, Pressure = 1002 hPa.
Temp = 19 ◦ C, Humidity = 27 %, Pressure = 923 hPa.
Temp = 25 ◦ C, Humidity = 27 %, Pressure = 923 hPa.
Temp = 18 ◦ C, Humidity = 99 %, Pressure = 923 hPa.
Temp = 27 ◦ C, Humidity = 99 %, Pressure = 1094 hPa.
Temp = 36 ◦ C, Humidity = 32 %, Pressure = 1094 hPa.
Temp = 31 ◦ C, Humidity = 32 %, Pressure = 1094 hPa.
Temp = 25 ◦ C, Humidity = 47 %, Pressure = 941 hPa.
Temp = 22 ◦ C, Humidity = 47 %, Pressure = 941 hPa.
Temp = 28 ◦ C, Humidity = 74 %, Pressure = 941 hPa.
Temp = 19 ◦ C, Humidity = 74 %, Pressure = 908 hPa.
Temp = 23 ◦ C, Humidity = 42 %, Pressure = 908 hPa.
Temp = 34 ◦ C, Humidity = 42 %, Pressure = 908 hPa.
Temp = 25 ◦ C, Humidity = 67 %, Pressure = 997 hPa.
Temp = 15 ◦ C, Humidity = 67 %, Pressure = 997 hPa.
Temp = 29 ◦ C, Humidity = 93 %, Pressure = 997 hPa.
Temp = 36 ◦ C, Humidity = 93 %, Pressure = 1052 hPa.
Temp = 26 ◦ C, Humidity = 81 %, Pressure = 1052 hPa.
Temp = 20 ◦ C, Humidity = 81 %, Pressure = 1052 hPa.
Temp = 22 ◦ C, Humidity = 35 %, Pressure = 945 hPa.
Temp = 18 ◦ C, Humidity = 35 %, Pressure = 945 hPa.
Temp = 17 ◦ C, Humidity = 79 %, Pressure = 945 hPa.
Temp = 17 ◦ C, Humidity = 79 %, Pressure = 931 hPa.
